SR Type,Neighborhood,2017,2018,2019,2020,2021,2022,2023
HCD-Sanitation Property,Ednor Gardens-Lakeside,313,304,329,246,304,319,361
HCD-Sanitation Property,ELLICOTT DR,,,,,,,3
HCD-Sanitation Property,Ellwood Park/Monument,464,379,313,281,213,276,240
HCD-Sanitation Property,Evergreen,5,8,6,1,1,1,1
HCD-Sanitation Property,Evergreen Lawn,153,134,99,87,94,142,161
HCD-Sanitation Property,Evesham Park,29,27,28,16,47,21,41
HCD-Sanitation Property,FAIRFAX RD,,,,,,,1
HCD-Sanitation Property,Fairfield Area,14,16,10,10,13,28,10
HCD-Sanitation Property,Fairmont,17,14,8,6,14,17,9
HCD-Sanitation Property,Fairmount,,,,,,,13
HCD-Sanitation Property,Fallstaff,128,173,174,146,141,144,261
HCD-Sanitation Property,Federal Hill,139,164,79,84,37,79,83
HCD-Sanitation Property,Fells Point,442,258,252,213,232,283,261
HCD-Sanitation Property,FLEETWOOD AVE,,,,,,,1
HCD-Sanitation Property,Forest Park,194,289,221,120,159,152,133
HCD-Sanitation Property,Forest Park Golf Course,9,18,5,10,9,6,9
HCD-Sanitation Property,Four By Four,159,144,258,114,157,189,174
HCD-Sanitation Property,Frankford,602,597,512,466,542,467,443
HCD-Sanitation Property,Franklin Square,486,370,351,272,505,576,583
HCD-Sanitation Property,Franklintown,17,12,14,28,14,9,9
HCD-Sanitation Property,Franklintown Road,380,372,488,412,485,675,526
HCD-Sanitation Property,FREDERICK AVE,,,,,,,1
HCD-Sanitation Property,Garwyn Oaks,62,59,62,39,39,56,33
HCD-Sanitation Property,Gay Street,73,86,64,39,76,112,62
HCD-Sanitation Property,GITTINGS AVE,,,,,,,1
HCD-Sanitation Property,Glen,204,203,152,125,164,212,167
HCD-Sanitation Property,Glen Oaks,122,119,101,83,174,159,91
HCD-Sanitation Property,Glenham-Belhar,326,448,478,497,714,475,196
HCD-Sanitation Property,Graceland Park,130,200,141,111,116,86,122
HCD-Sanitation Property,Greektown,355,381,246,289,265,369,384
HCD-Sanitation Property,Greenmount Cemetery,5,1,3,,,8,5
HCD-Sanitation Property,Greenmount West,284,227,152,103,157,229,129
HCD-Sanitation Property,Greenspring,462,423,350,241,267,252,322
HCD-Sanitation Property,Grove Park,66,80,76,54,58,63,65
HCD-Sanitation Property,Guilford,45,28,36,26,19,32,29
HCD-Sanitation Property,GUILFORD AVE,,,,,,,1
HCD-Sanitation Property,Gwynns Falls,312,180,183,182,258,253,242
HCD-Sanitation Property,Gwynns Falls/Leakin Park,18,16,5,5,2,4,3
HCD-Sanitation Property,Hamilton,,,,,,,167
HCD-Sanitation Property,Hamilton Hills,333,362,370,163,249,212,181
HCD-Sanitation Property,Hampden,392,378,309,224,277,248,306
HCD-Sanitation Property,Hanlon-Longwood,338,294,271,270,218,258,292
HCD-Sanitation Property,Harbor East,,,,,,,2
HCD-Sanitation Property,Harlem Park,1020,856,525,510,673,820,739
HCD-Sanitation Property,Harwood,138,170,130,88,125,91,107
HCD-Sanitation Property,Hawkins Point,16,1,1,1,1,,
HCD-Sanitation Property,Heritage Crossing,21,22,18,23,23,14,31
HCD-Sanitation Property,Herring Run Park,2,4,,,,,2
HCD-Sanitation Property,Highlandtown,227,274,224,157,175,179,196
HCD-Sanitation Property,Hillen,144,138,120,88,121,178,135
HCD-Sanitation Property,Hoes Heights,31,34,27,25,13,30,27
HCD-Sanitation Property,Holabird Industrial Park,8,5,3,,2,15,10
HCD-Sanitation Property,Hollins Market,409,225,115,103,162,255,253
HCD-Sanitation Property,Homeland,62,57,27,17,32,17,22
HCD-Sanitation Property,Hopkins Bayview,20,6,9,9,7,1,5
HCD-Sanitation Property,Howard Park,566,549,497,345,396,393,293
HCD-Sanitation Property,Hunting Ridge,57,44,31,17,20,39,31
HCD-Sanitation Property,Idlewood,118,147,132,89,152,148,144
HCD-Sanitation Property,Inner Harbor,7,7,5,11,7,1,9
HCD-Sanitation Property,Irvington,486,270,368,326,475,378,542
HCD-Sanitation Property,IVANHOE AVE,,,,,,,1
HCD-Sanitation Property,Johns Hopkins Homewood,,,,3,3,1,
HCD-Sanitation Property,Johnston Square,298,248,166,139,188,217,185
HCD-Sanitation Property,Jones Falls Area,16,13,4,4,3,5,8
HCD-Sanitation Property,Jonestown,37,52,21,22,25,32,19
HCD-Sanitation Property,Kenilworth Park,98,71,62,49,74,82,71
HCD-Sanitation Property,Kernewood,45,21,22,30,39,48,81
HCD-Sanitation Property,Keswick,5,2,2,,4,1,2
HCD-Sanitation Property,KEYWORTH REAR,,,,,,,1
HCD-Sanitation Property,KINGSLEY ST,,,,,,,1
HCD-Sanitation Property,Kresson,141,182,112,63,60,69,65
HCD-Sanitation Property,Lake Evesham,18,15,6,12,11,10,19
HCD-Sanitation Property,Lake Walker,49,44,26,9,34,35,40
HCD-Sanitation Property,Lakeland,280,273,188,194,132,210,146
HCD-Sanitation Property,Langston Hughes,128,129,144,180,158,169,170
HCD-Sanitation Property,Lauraville,350,226,98,99,186,185,236
HCD-Sanitation Property,Levindale,46,21,33,29,17,21,61
HCD-Sanitation Property,LIBERTY HEIGHTS AVE,,,,,,,1
HCD-Sanitation Property,Liberty Square,57,60,20,20,39,38,25
HCD-Sanitation Property,Little Italy,24,29,19,14,23,40,53
HCD-Sanitation Property,Loch Raven,348,264,259,187,289,335,395
HCD-Sanitation Property,Locust Point,108,84,40,32,58,50,23
HCD-Sanitation Property,Locust Point Industrial Area,19,10,3,3,4,13,4
HCD-Sanitation Property,Lower Edmondson Village,105,84,78,66,84,55,25
