SW-Dirty Alley,Belair-Parkside,1,9,4,2,,2,1,3,2,2,5,2,1,2,1,3,2,3,8,1,1,,1,2,1,2,2,3,1,2,3,1,,,,,1,2,1,2,,,2,,,1,,,,1,,,3,1,,2,1,2,2,1,,1,,,,5,,,,1,1,2,1,,1,1,1,2,1,,1,1,,2
SW-Dirty Alley,Bellona-Gittings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW-Dirty Alley,Belvedere,,,,,,,,,1,,,,,,,1,1,,2,4,,,1,,2,1,1,1,,,,1,1,,,,,,1,,,1,,,,,,,1,,1,5,,,2,,2,,,1,,,,,,,,,,,,1,,,1,,3,1,2,,,,,
SW-Dirty Alley,Berea,12,14,30,23,24,43,25,21,25,35,32,40,53,35,40,41,26,36,34,29,21,15,19,19,18,23,21,20,13,21,16,23,27,17,23,22,38,23,22,14,23,22,38,22,23,23,21,17,16,17,18,35,36,28,31,27,26,11,22,11,18,18,32,38,34,26,33,33,37,20,24,24,35,21,38,22,11,21,28,32,22,29,42,37
SW-Dirty Alley,Better Waverly,12,11,27,15,25,7,9,11,17,15,7,3,6,12,10,14,13,13,15,13,12,7,13,14,16,18,14,14,17,13,15,19,11,14,10,11,14,10,6,2,13,17,4,7,8,8,5,5,8,5,6,7,3,11,11,4,10,6,5,8,21,10,5,9,3,6,6,11,9,3,4,4,4,5,8,2,7,12,5,3,10,10,5,2
SW-Dirty Alley,Beverly Hills,1,,,,,,,,,,,,,,,1,,,,,2,,,,2,,1,1,1,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,1,,2,,,,,,,,,1,,,1,,,1,,1,1
SW-Dirty Alley,Biddle Street,12,11,16,18,22,7,6,13,16,23,23,17,16,24,28,20,22,30,25,11,9,14,16,22,12,10,21,17,24,16,14,13,9,11,8,16,9,5,5,7,9,13,12,6,11,20,5,11,14,20,10,18,11,12,14,13,17,5,4,8,3,4,22,13,8,7,19,18,12,22,10,8,8,10,11,6,6,6,17,9,3,11,4,5
SW-Dirty Alley,BOARMAN AVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
SW-Dirty Alley,Bolton Hill,4,2,5,1,4,2,2,2,2,4,5,3,2,2,2,2,4,8,3,7,3,1,2,1,,2,1,6,1,6,1,5,3,2,1,,3,3,3,2,,,3,4,8,1,3,,1,5,1,6,1,7,4,4,3,1,2,4,1,4,3,1,1,4,2,3,2,1,2,1,2,1,3,2,5,4,5,1,,4,3,4
SW-Dirty Alley,BOOTH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
